host	registrable	tld	ip	hosting	function	tier
offer.sssssssssss2.online	sssssssssss2.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
offer.sssssssssss5.online	sssssssssss5.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
off.gifegy2021.xyz	gifegy2021.xyz	xyz	NODNS	DEAD	other	THROWAWAY
mobile.socialnewshub.club	socialnewshub.club	club	103.224.182.217	PARKED	other	THROWAWAY
off.giftsnowegy2021.xyz	giftsnowegy2021.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
off.neffws.xyz	neffws.xyz	xyz	NODNS	DEAD	other	THROWAWAY
m.rhhe.top	rhhe.top	top	108.178.23.116	LIVE-INAP	offer	THROWAWAY
ok.ucanwin.site	ucanwin.site	site	108.178.23.116	LIVE-INAP	offer	THROWAWAY
offer.annahub.cc	annahub.cc	cc	108.178.23.116	LIVE-INAP	offer	CORE
offer.absurdvote.com	absurdvote.com	com	108.178.23.116	LIVE-INAP	offer	CORE
mmm.mzoffersmm.cfd	mzoffersmm.cfd	cfd	104.219.250.37	LIVE-NAMECHEAP-PHX	offer	THROWAWAY
offer.mas122.com	mas122.com	com	108.178.23.116	LIVE-INAP	offer	CORE
offersnew.fun	offersnew.fun	fun	185.124.137.153	LIVE-ALT	offer	THROWAWAY
go.mobtop.cfd	mobtop.cfd	cfd	NODNS	DEAD	redirector	THROWAWAY
one.bestofferss.site	bestofferss.site	site	NODNS	DEAD	offer	THROWAWAY
noty.mudiji.com	mudiji.com	com	108.178.23.116	LIVE-INAP	other	CORE
oo.god-new.com	god-new.com	com	13.248.213.45	LIVE-ALT	other	CORE
now.redirectingu.com	redirectingu.com	com	108.178.23.116	LIVE-INAP	other	CORE
oppp112.fsafasmesdt.online	fsafasmesdt.online	online	NODNS	DEAD	other	THROWAWAY
out58.trck17-back-server.co	trck17-back-server.co	co	NODNS	DEAD	other	THROWAWAY
offer.khwatersareeajedn.tk	khwatersareeajedn.tk	tk	NODNS	DEAD	offer	THROWAWAY
othma.shoppyone.shop	shoppyone.shop	shop	NODNS	DEAD	other	THROWAWAY
out.quantumriverforge.bond	quantumriverforge.bond	bond	108.178.23.116	LIVE-INAP	redirector	THROWAWAY
pay.earnvips.xyz	earnvips.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
pcs.triplextoons.xyz	triplextoons.xyz	xyz	NODNS	DEAD	other	THROWAWAY
praxemio.praxemio.shop	praxemio.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
now.helpgaza.net	helpgaza.net	net	NODNS	DEAD	other	CORE
one.nextahookah.com	nextahookah.com	com	108.178.23.116	LIVE-INAP	other	CORE
pr.ehealthinsurance.com.ng	com.ng	ng	108.178.23.116	LIVE-INAP	other	THROWAWAY
paxenro.paxenro.shop	paxenro.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
psh.avatarguide.xyz	avatarguide.xyz	xyz	76.223.54.146	LIVE-ALT	other	THROWAWAY
pubs1.puls1o.xyz	puls1o.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
pt.trackfllighttour.com	trackfllighttour.com	com	108.178.23.116	LIVE-INAP	other	CORE
puper.abrelatas.hair	abrelatas.hair	hair	NODNS	DEAD	other	THROWAWAY
qarivon.qarivon.shop	qarivon.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
on.mboknow.com	mboknow.com	com	NODNS	DEAD	other	CORE
push.fansforrewards.club	fansforrewards.club	club	108.178.23.116	LIVE-INAP	offer	THROWAWAY
off.smart302.com	smart302.com	com	108.178.23.116	LIVE-INAP	other	CORE
open.digitaltechware.com	digitaltechware.com	com	108.178.23.116	LIVE-INAP	other	CORE
quam.brightpulse.space	brightpulse.space	space	NODNS	DEAD	other	THROWAWAY
prosw-1785.web-kklz.com	web-kklz.com	com	NODNS	DEAD	other	CORE
prov3.verifyox.com	verifyox.com	com	NODNS	DEAD	other	CORE
aff.maher2.shop	maher2.shop	shop	NODNS	DEAD	affiliate	THROWAWAY
m.updatingnow.top	updatingnow.top	top	108.178.23.116	LIVE-INAP	offer	THROWAWAY
mob16.authenticaonline.com	authenticaonline.com	com	7.7.7.7	PARKED	other	CORE
pu.makemorema.cfd	makemorema.cfd	cfd	NODNS	DEAD	other	THROWAWAY
playzix.com	playzix.com	com	108.178.23.116	LIVE-INAP	other	CORE
m.otterboxlife.com	otterboxlife.com	com	103.224.212.211	PARKED	offer	CORE
push.m-android.com	m-android.com	com	NODNS	DEAD	other	CORE
perfect.zenveo.shop	zenveo.shop	shop	NODNS	DEAD	other	THROWAWAY
redirect.sales3.club	sales3.club	club	NODNS	DEAD	other	THROWAWAY
rest.qualquerloda.wiki	qualquerloda.wiki	wiki	NODNS	DEAD	other	THROWAWAY
receive.globalpromos.online	globalpromos.online	online	108.178.23.116	LIVE-INAP	other	THROWAWAY
rules.consumervoucher.xyz	consumervoucher.xyz	xyz	NODNS	DEAD	other	THROWAWAY
partner.mediartb.com	mediartb.com	com	NODNS	DEAD	other	CORE
rre.mrasntv.site	mrasntv.site	site	NODNS	DEAD	other	THROWAWAY
prefect.goodprizeday.com	goodprizeday.com	com	NODNS	DEAD	offer	CORE
s11.lisabob.mom	lisabob.mom	mom	NODNS	DEAD	other	THROWAWAY
s3.lisabob.mom	lisabob.mom	mom	NODNS	DEAD	other	THROWAWAY
re.enhancedmarketing.shop	enhancedmarketing.shop	shop	NODNS	DEAD	other	THROWAWAY
rotator.leadseagle.shop	leadseagle.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
premier.gi-fts.com	gi-fts.com	com	NODNS	DEAD	other	CORE
s1.samiuais.click	samiuais.click	click	NODNS	DEAD	other	THROWAWAY
s4.kipmikes.lat	kipmikes.lat	lat	NODNS	DEAD	other	THROWAWAY
m1.mtz.safe-browsing.digital	safe-browsing.digital	digital	NODNS	DEAD	other	THROWAWAY
rjs.kfje.top	kfje.top	top	108.178.23.116	LIVE-INAP	other	THROWAWAY
prov2.verifyox.com	verifyox.com	com	NODNS	DEAD	other	CORE
secure.apex-cdn.xyz	apex-cdn.xyz	xyz	108.178.23.116	LIVE-INAP	verify	THROWAWAY
secure.veloxworks.com	veloxworks.com	com	108.178.23.116	LIVE-INAP	verify	CORE
set.aterthyptici.xyz	aterthyptici.xyz	xyz	NODNS	DEAD	other	THROWAWAY
prosw-1787.web-kklz.com	web-kklz.com	com	NODNS	DEAD	other	CORE
r.wonderstechnologies.com	wonderstechnologies.com	com	NODNS	DEAD	other	CORE
serv.thefastest.asia	thefastest.asia	asia	108.178.23.116	LIVE-INAP	other	THROWAWAY
sew1.adsgoods.buzz	adsgoods.buzz	buzz	NODNS	DEAD	other	THROWAWAY
settled.emeraldvoyager.quest	emeraldvoyager.quest	quest	NODNS	DEAD	other	THROWAWAY
silkarcadegood.xyz	silkarcadegood.xyz	xyz	NODNS	DEAD	other	THROWAWAY
site.xn--jgbgaajrb0c2bv0g8acbgbbhfg.online	xn--jgbgaajrb0c2bv0g8acbgbbhfg.online	online	NODNS	DEAD	other	THROWAWAY
smart.4kiptvcompany.store	4kiptvcompany.store	store	NODNS	DEAD	other	THROWAWAY
smart.secureconnection.pro	secureconnection.pro	pro	NODNS	DEAD	other	THROWAWAY
sml.benefitsonlytodaygvr7.buzz	benefitsonlytodaygvr7.buzz	buzz	NODNS	DEAD	other	THROWAWAY
sml.gototheredgamemoon.click	gototheredgamemoon.click	click	NODNS	DEAD	other	THROWAWAY
sml.vfwefwesgw.click	vfwefwesgw.click	click	NODNS	DEAD	other	THROWAWAY
sml.thisgoodmoon.click	thisgoodmoon.click	click	NODNS	DEAD	other	THROWAWAY
sml.fw984nfsodf.click	fw984nfsodf.click	click	NODNS	DEAD	other	THROWAWAY
s.offerspubhub.online	offerspubhub.online	online	108.178.23.116	LIVE-INAP	offer	THROWAWAY
somenth.bilitere.shop	bilitere.shop	shop	NODNS	DEAD	other	THROWAWAY
sss.bestoffers.monster	bestoffers.monster	monster	NODNS	DEAD	offer	THROWAWAY
space.alphaleadsmedia.xyz	alphaleadsmedia.xyz	xyz	NODNS	DEAD	other	THROWAWAY
redeem.getoffer2.com	getoffer2.com	com	NODNS	DEAD	offer	CORE
story.leadseagle.shop	leadseagle.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
sub.flashsweep.me	flashsweep.me	me	NODNS	DEAD	other	THROWAWAY
subr.magicgame.icu	magicgame.icu	icu	NODNS	DEAD	other	THROWAWAY
redir.lucky-members.com	lucky-members.com	com	108.178.23.116	LIVE-INAP	redirector	CORE
sub.hlou.store	hlou.store	store	NODNS	DEAD	other	THROWAWAY
syntrad.syntrad.shop	syntrad.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
sweet.simmeredmilkyfuits.lol	simmeredmilkyfuits.lol	lol	NODNS	DEAD	other	THROWAWAY
t1.avslinks.site	avslinks.site	site	NODNS	DEAD	other	THROWAWAY
taco.viblix.link	viblix.link	link	NODNS	DEAD	other	THROWAWAY
take.grabtake.xyz	grabtake.xyz	xyz	NODNS	DEAD	other	THROWAWAY
s.zezo.fun	zezo.fun	fun	108.178.23.116	LIVE-INAP	other	THROWAWAY
tamborine.midnightpulse.space	midnightpulse.space	space	NODNS	DEAD	other	THROWAWAY
tap.bingtome.cloud	bingtome.cloud	cloud	NODNS	DEAD	other	THROWAWAY
tavindal.tavindal.shop	tavindal.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
send.mygameology.com	mygameology.com	com	108.178.23.116	LIVE-INAP	other	CORE
tiktok.com-apps.ubirix.com	ubirix.com	com	NODNS	DEAD	other	CORE
top.consumervoucher.xyz	consumervoucher.xyz	xyz	NODNS	DEAD	other	THROWAWAY
ssttee.offers-4u.com	offers-4u.com	com	108.178.23.116	LIVE-INAP	offer	CORE
tor9qavemi.tor9qavemi.cfd	tor9qavemi.cfd	cfd	NODNS	DEAD	other	THROWAWAY-DGA
tr63.blueharbornest.space	blueharbornest.space	space	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
slink.winbigtoday.top	winbigtoday.top	top	NODNS	DEAD	offer	THROWAWAY
track.beautifulmelonz111.lol	beautifulmelonz111.lol	lol	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
tr67.cleverstonegroup.space	cleverstonegroup.space	space	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
tks.mnup.top	mnup.top	top	108.178.23.116	LIVE-INAP	other	THROWAWAY
prop.digihone.com	digihone.com	com	108.178.23.116	LIVE-INAP	other	CORE
track.pyronex.app	pyronex.app	app	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
track.ursulouforwin.lol	ursulouforwin.lol	lol	108.178.23.116	LIVE-INAP	tracker	THROWAWAY
traffic.ngrbjwj.xyz	ngrbjwj.xyz	xyz	NODNS	DEAD	other	THROWAWAY
traffic.onlyfriends.online	onlyfriends.online	online	108.178.23.116	LIVE-INAP	other	THROWAWAY
s2.feelcool.us.kg	us.kg	kg	NODNS	DEAD	other	THROWAWAY
trck.mntzr.co	mntzr.co	co	NODNS	DEAD	other	THROWAWAY
tel.toproulettejackpot.com	toproulettejackpot.com	com	NODNS	DEAD	other	CORE
trck.superfreetrck.xyz	superfreetrck.xyz	xyz	NODNS	DEAD	other	THROWAWAY
tl.fbb9.com	fbb9.com	com	NODNS	DEAD	other	CORE
trk.mtzed.com	mtzed.com	com	NODNS	DEAD	tracker	CORE
tth.smartingtip.digital	smartingtip.digital	digital	NODNS	DEAD	other	THROWAWAY
umaww.site	umaww.site	site	NODNS	DEAD	other	THROWAWAY
totaa.tamar555h.com	tamar555h.com	com	NODNS	DEAD	other	CORE
update-nonidolatrousness-indaconitine-nonsurvivor.xyz	update-nonidolatrousness-indaconitine-nonsurvivor.xyz	xyz	NODNS	DEAD	other	THROWAWAY
sub1.iptv.tienda	iptv.tienda	tienda	NODNS	DEAD	other	THROWAWAY
understowns.cosiah.cfd	cosiah.cfd	cfd	NODNS	DEAD	other	THROWAWAY
user.spesicialforuser.store	spesicialforuser.store	store	NODNS	DEAD	other	THROWAWAY
tr.eveninginfrance.com	eveninginfrance.com	com	NODNS	DEAD	tracker	CORE
uuw.tricktopyou.site	tricktopyou.site	site	NODNS	DEAD	other	THROWAWAY
trk.ads-srv.net	ads-srv.net	net	108.178.23.116	LIVE-INAP	tracker	CORE
try.pptube.top	pptube.top	top	108.178.23.116	LIVE-INAP	other	THROWAWAY
sa.sallaspace.com	sallaspace.com	com	2.59.170.20	LIVE-WORLDSTREAM	other	CORE
get.gooddealz.one	gooddealz.one	one	NODNS	DEAD	offer	THROWAWAY
v3.verifytotal.com	verifytotal.com	com	108.178.23.116	LIVE-INAP	other	CORE
v2.verifyhey.com	verifyhey.com	com	108.178.23.116	LIVE-INAP	other	CORE
today.luckygiftsite.com	luckygiftsite.com	com	NODNS	DEAD	offer	CORE
v8.zyhia.xyz	zyhia.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
on.downloadgame.shop	downloadgame.shop	shop	NODNS	DEAD	other	THROWAWAY
vww.validsupteam.wiki	validsupteam.wiki	wiki	NODNS	DEAD	other	THROWAWAY
ver.runbig.xyz	runbig.xyz	xyz	NODNS	DEAD	other	THROWAWAY
v3.verifyho.com	verifyho.com	com	108.178.23.116	LIVE-INAP	other	CORE
waddle.midnightpulse.cfd	midnightpulse.cfd	cfd	NODNS	DEAD	other	THROWAWAY
v3.verifyom.com	verifyom.com	com	108.178.23.116	LIVE-INAP	other	CORE
svante.zest4connection.life	zest4connection.life	life	104.219.250.37	LIVE-NAMECHEAP-PHX	other	THROWAWAY
try.ttttrack.com	ttttrack.com	com	NODNS	DEAD	other	CORE
wanteen.hateven.shop	hateven.shop	shop	NODNS	DEAD	other	THROWAWAY
v6.takeverify.com	takeverify.com	com	NODNS	DEAD	other	CORE
tl.artbrage.sbs	artbrage.sbs	sbs	108.178.23.116	LIVE-INAP	other	THROWAWAY
werniqax.werniqax.shop	werniqax.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
go.streetdomain.shop	streetdomain.shop	shop	NODNS	DEAD	redirector	THROWAWAY
wilonin.uaewinneers.club	uaewinneers.club	club	NODNS	DEAD	offer	THROWAWAY
white.neweventsshop.link	neweventsshop.link	link	NODNS	DEAD	other	THROWAWAY
v2.verifykay.com	verifykay.com	com	108.178.23.116	LIVE-INAP	other	CORE
win.efhamteflak.site	efhamteflak.site	site	NODNS	DEAD	offer	THROWAWAY
win.jb3.xyz	jb3.xyz	xyz	NODNS	DEAD	offer	THROWAWAY
prizesnew.monetrafficclean.shop	monetrafficclean.shop	shop	NODNS	DEAD	offer	THROWAWAY
try.ashershops.com	ashershops.com	com	NODNS	DEAD	other	CORE
work.publicjobs.site	publicjobs.site	site	NODNS	DEAD	other	THROWAWAY
wp.lianmengpingtaiyuming01.xyz	lianmengpingtaiyuming01.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
webs.keyverticals.com	keyverticals.com	com	108.178.23.116	LIVE-INAP	other	CORE
verify.ironempiremotorcycle.com	ironempiremotorcycle.com	com	108.178.23.116	LIVE-INAP	verify	CORE
tungtungsahuu.online	tungtungsahuu.online	online	195.201.128.179	LIVE-ALT	other	THROWAWAY
wvw.buildontoptok.help	buildontoptok.help	help	NODNS	DEAD	other	THROWAWAY
semia.shop	semia.shop	shop	NODNS	DEAD	other	THROWAWAY
ww2.news-disband-dissunder-goddammed.xyz	news-disband-dissunder-goddammed.xyz	xyz	NODNS	DEAD	other	THROWAWAY
ww2.news-splenium-disharmonized-amorphinism.xyz	news-splenium-disharmonized-amorphinism.xyz	xyz	NODNS	DEAD	other	THROWAWAY
ww2.update-nonidolatrousness-indaconitine-nonsurvivor.xyz	update-nonidolatrousness-indaconitine-nonsurvivor.xyz	xyz	NODNS	DEAD	other	THROWAWAY
verify.211pr.com	211pr.com	com	108.178.23.116	LIVE-INAP	verify	CORE
win.love2stayathome.com	love2stayathome.com	com	NODNS	DEAD	offer	CORE
wvw.tracmailfun.work	tracmailfun.work	work	NODNS	DEAD	other	THROWAWAY
ww.baidu-cdn.xyz	baidu-cdn.xyz	xyz	NODNS	DEAD	other	THROWAWAY
wwm.againother.lol	againother.lol	lol	NODNS	DEAD	other	THROWAWAY
v3.verifynio.com	verifynio.com	com	108.178.23.116	LIVE-INAP	other	CORE
wwv.magictoothled.wiki	magictoothled.wiki	wiki	NODNS	DEAD	other	THROWAWAY
wwv.balderseting.wiki	balderseting.wiki	wiki	108.178.23.116	LIVE-INAP	other	THROWAWAY
wwv.peninthebucket.help	peninthebucket.help	help	108.178.23.116	LIVE-INAP	other	THROWAWAY
ww.sfaswfsfb.xyz	sfaswfsfb.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
wwv.90discounts.site	90discounts.site	site	NODNS	DEAD	other	THROWAWAY
wwv.pusclegloryhub.store	pusclegloryhub.store	store	NODNS	DEAD	other	THROWAWAY
wwv.rotatinangle.wiki	rotatinangle.wiki	wiki	NODNS	DEAD	other	THROWAWAY
w4.bouncysystem.com	bouncysystem.com	com	NODNS	DEAD	other	CORE
wwv.shiptrickon.wiki	shiptrickon.wiki	wiki	NODNS	DEAD	other	THROWAWAY
visit.gobestcontent.com	gobestcontent.com	com	108.178.23.116	LIVE-INAP	other	CORE
wwv.smartforall.work	smartforall.work	work	NODNS	DEAD	other	THROWAWAY
wwv.ubertpage.wiki	ubertpage.wiki	wiki	NODNS	DEAD	other	THROWAWAY
wwv.whencominghome.help	whencominghome.help	help	NODNS	DEAD	other	THROWAWAY
www.kivorax.kivorax.shop	kivorax.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
wwv.shimarktruck.guru	shimarktruck.guru	guru	NODNS	DEAD	other	THROWAWAY
wwv.shimarktruck.fit	shimarktruck.fit	fit	NODNS	DEAD	other	THROWAWAY
www.kivorax.shop	kivorax.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
wwv.ultrasindmars.work	ultrasindmars.work	work	NODNS	DEAD	other	THROWAWAY
www.merkulashop.shop	merkulashop.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
www.merkulashop.merkulashop.shop	merkulashop.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
www.qarivon.shop	qarivon.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
www.qarivon.qarivon.shop	qarivon.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
wu.chinoa.top	chinoa.top	top	NODNS	DEAD	other	THROWAWAY
www.syntrad.shop	syntrad.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
win.hg4.xyz	hg4.xyz	xyz	156.239.69.39	LIVE-ALT	offer	THROWAWAY
www.v8.zyhia.xyz	zyhia.xyz	xyz	108.178.23.116	LIVE-INAP	other	THROWAWAY
www.yolivashop.shop	yolivashop.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
www.yor8qemila.yor8qemila.cfd	yor8qemila.cfd	cfd	NODNS	DEAD	other	THROWAWAY
www.zemorix.zemorix.shop	zemorix.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
www.zoltena.shop	zoltena.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
trk.shoppex.ru	shoppex.ru	ru	185.105.226.109	LIVE-ALT	tracker	THROWAWAY
xavroniq.xavroniq.shop	xavroniq.shop	shop	NODNS	DEAD	other	THROWAWAY-DGA
xelmoruq.xelmoruq.shop	xelmoruq.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
www.tavindal.tavindal.shop	tavindal.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY
x1.anotheroffer.my.id	my.id	id	108.178.23.116	LIVE-INAP	offer	THROWAWAY
xorvameq.xorvameq.shop	xorvameq.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
yolivashop.yolivashop.shop	yolivashop.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
youcan.getiffree.online	getiffree.online	online	NODNS	DEAD	other	THROWAWAY
yoda2.umaww.site	umaww.site	site	NODNS	DEAD	other	THROWAWAY
yor8qemila.yor8qemila.cfd	yor8qemila.cfd	cfd	NODNS	DEAD	other	THROWAWAY-DGA
zoltena.zoltena.shop	zoltena.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
rdr234.mooo.com	mooo.com	com	108.178.23.116	LIVE-INAP	other	CORE
wp.shengxiadeguosi.store	shengxiadeguosi.store	store	2.59.170.20	LIVE-WORLDSTREAM	other	THROWAWAY
win.mbc2032.xyz	mbc2032.xyz	xyz	2.59.170.20	LIVE-WORLDSTREAM	offer	THROWAWAY
wonder.worldonlinegamez.com	worldonlinegamez.com	com	103.224.182.216	PARKED	other	CORE
yp04.woyaomaiaodi.com	woyaomaiaodi.com	com	NODNS	DEAD	other	CORE
track.bestoffre.shop	bestoffre.shop	shop	NODNS	DEAD	tracker	THROWAWAY
the.magicworlds.site	magicworlds.site	site	185.104.45.112	LIVE-ALT	other	THROWAWAY
zq.bcdem.top	bcdem.top	top	NODNS	DEAD	other	THROWAWAY
offer.hugepromos.shop	hugepromos.shop	shop	NODNS	DEAD	offer	THROWAWAY
yeah.remarkettme.shop	remarkettme.shop	shop	2.59.170.20	LIVE-WORLDSTREAM	other	THROWAWAY
yes.albagnanai.it	albagnanai.it	it	108.178.23.116	LIVE-INAP	other	THROWAWAY
track.openstd.xyz	openstd.xyz	xyz	2.59.170.20	LIVE-WORLDSTREAM	tracker	THROWAWAY
aff.maxads2025.shop	maxads2025.shop	shop	NODNS	DEAD	affiliate	THROWAWAY
aff.sunonlyyou.shop	sunonlyyou.shop	shop	NODNS	DEAD	affiliate	THROWAWAY
www.qiuqiu12223.top	qiuqiu12223.top	top	108.178.23.116	LIVE-INAP	other	THROWAWAY
link.randowins.shop	randowins.shop	shop	NODNS	DEAD	offer	THROWAWAY
site.ofrioluan.com	ofrioluan.com	com	NODNS	DEAD	other	CORE
mmo.giftss02.shop	giftss02.shop	shop	NODNS	DEAD	offer	THROWAWAY
cznog.randomjumble.shop	randomjumble.shop	shop	NODNS	DEAD	other	THROWAWAY
my.amoffer.shop	amoffer.shop	shop	NODNS	DEAD	offer	THROWAWAY
win.ketofitpro.xyz	ketofitpro.xyz	xyz	135.181.41.169	LIVE-ALT	offer	THROWAWAY
x2.strym.info	strym.info	info	NODNS	DEAD	other	THROWAWAY
r5.redread.shop	redread.shop	shop	NODNS	DEAD	other	THROWAWAY
your.prize2win.online	prize2win.online	online	NODNS	CNAME	offer	THROWAWAY
zemorix.zemorix.shop	zemorix.shop	shop	108.178.23.116	LIVE-INAP	other	THROWAWAY-DGA
your.onlyclubperk.club	onlyclubperk.club	club	108.178.23.116	LIVE-INAP	other	THROWAWAY
ww3.ingelheim.tech	ingelheim.tech	tech	31.214.178.54	LIVE-ALT	other	THROWAWAY
ww3.niederolmer.online	niederolmer.online	online	108.178.23.116	LIVE-INAP	other	THROWAWAY
